iter	Passed	Remaining
690	18957	8477
691	18980	8448
692	19004	8419
693	19028	8389
694	19053	8361
695	19083	8335
696	19107	8306
697	19133	8278
698	19162	8251
699	19186	8222
700	19211	8194
701	19234	8165
702	19259	8136
703	19285	8108
704	19313	8081
705	19338	8052
706	19367	8026
707	19394	7998
708	19417	7969
709	19443	7941
710	19466	7912
711	19491	7884
712	19517	7856
713	19542	7827
714	19568	7799
715	19594	7771
716	19618	7743
717	19643	7715
718	19669	7687
719	19702	7661
720	19731	7635
721	19756	7606
722	19784	7579
723	19810	7552
724	19836	7524
725	19859	7495
726	19885	7467
727	19914	7440
728	19938	7412
729	19965	7384
730	19991	7356
731	20017	7328
732	20042	7300
733	20070	7273
734	20095	7245
735	20122	7217
736	20148	7190
737	20178	7163
738	20203	7135
739	20225	7106
740	20254	7079
741	20282	7052
742	20308	7024
743	20333	6996
744	20357	6968
745	20385	6940
746	20410	6912
747	20438	6885
748	20464	6857
749	20494	6831
750	20519	6803
751	20551	6777
752	20575	6749
753	20600	6720
754	20624	6692
755	20653	6665
756	20684	6639
757	20708	6611
758	20732	6582
759	20755	6554
760	20781	6526
761	20807	6498
762	20833	6471
763	20858	6443
764	20881	6414
765	20905	6386
766	20931	6358
767	20970	6334
768	20996	6307
769	21021	6279
770	21046	6251
771	21074	6223
772	21104	6197
773	21131	6170
774	21156	6142
775	21181	6114
776	21209	6087
777	21236	6059
778	21261	6031
779	21285	6003
780	21313	5976
781	21341	5949
782	21368	5922
783	21392	5893
784	21417	5865
785	21445	5838
786	21475	5812
787	21505	5785
788	21533	5758
789	21561	5731
790	21589	5704
791	21616	5677
792	21643	5649
793	21671	5622
794	21697	5594
795	21725	5567
796	21755	5541
797	21787	5515
798	21815	5487
799	21844	5461
800	21875	5434
801	21903	5407
802	21934	5381
803	21960	5353
804	21989	5326
805	22015	5298
806	22046	5272
807	22076	5245
808	22103	5218
809	22132	5191
810	22161	5164
811	22187	5136
812	22211	5109
813	22235	5080
814	22260	5053
815	22288	5025
816	22314	4998
817	22339	4970
818	22365	4942
819	22391	4915
820	22416	4887
821	22444	4860
822	22469	4832
823	22500	4805
824	22527	4778
825	22557	4751
826	22584	4724
827	22610	4696
828	22635	4669
829	22659	4641
830	22682	4612
831	22709	4585
832	22735	4558
833	22769	4531
834	22794	4504
835	22819	4476
836	22844	4448
837	22871	4421
838	22899	4394
839	22928	4367
840	22951	4339
841	22978	4311
842	23001	4283
843	23025	4255
844	23050	4228
845	23079	4201
846	23103	4173
847	23136	4147
848	23163	4119
849	23194	4093
850	23221	4065
851	23247	4038
852	23272	4010
853	23300	3983
854	23325	3955
855	23351	3928
856	23376	3900
857	23400	3872
858	23425	3845
859	23452	3817
860	23477	3790
861	23508	3763
862	23532	3735
863	23556	3707
864	23589	3681
865	23616	3654
866	23644	3627
867	23669	3599
868	23693	3571
869	23719	3544
870	23742	3516
871	23766	3488
872	23791	3461
873	23817	3433
874	23844	3406
875	23869	3378
876	23890	3350
877	23916	3323
878	23937	3295
879	23963	3267
880	23987	3240
881	24012	3212
882	24036	3184
883	24066	3158
884	24091	3130
885	24115	3102
886	24142	3075
887	24167	3048
888	24197	3021
889	24222	2993
890	24250	2966
891	24282	2940
892	24310	2912
893	24341	2886
894	24367	2858
895	24394	2831
896	24423	2804
897	24450	2777
898	24478	2750
899	24505	2722
900	24534	2695
901	24561	2668
902	24587	2641
903	24612	2613
904	24638	2586
905	24663	2558
906	24688	2531
907	24722	2504
908	24747	2477
909	24772	2449
910	24798	2422
911	24823	2395
912	24848	2367
913	24876	2340
914	24900	2313
915	24923	2285
916	24953	2258
917	24977	2231
918	25012	2204
919	25046	2177
920	25073	2150
921	25106	2123
922	25146	2097
923	25185	2071
924	25219	2044
925	25253	2018
926	25289	1991
927	25321	1964
928	25350	1937
929	25382	1910
930	25407	1883
931	25438	1856
932	25464	1828
933	25488	1801
934	25518	1774
935	25544	1746
936	25572	1719
937	25598	1692
938	25628	1664
939	25655	1637
940	25682	1610
941	25705	1582
942	25732	1555
943	25762	1528
944	25790	1501
945	25813	1473
946	25839	1446
947	25871	1419
948	25902	1391
949	25933	1364
950	25963	1337
951	25991	1310
952	26016	1283
953	26043	1255
954	26072	1228
955	26102	1201
956	26134	1174
957	26164	1147
958	26190	1119
